dataset_name,run_name,model_name,image_size,setting,seed,n_train,k,threshold,positive_neighbors_needed,neighbor_fraction,classes_with_positive_train_examples,mean_auc,mean_accuracy,exact_match_accuracy,f1_macro,f1_micro
chestmnist,stanford_dinov2_xray_224,StanfordAIMI/dinov2-base-xray-224,224,500-img,9,500,50,0.05,3,0.1,14,0.6511195031382347,0.7100199915958897,0.005882877261788038,0.1300845280380874,0.19948678290213723
chestmnist,stanford_dinov2_xray_224,StanfordAIMI/dinov2-base-xray-224,224,1000-img,0,1000,50,0.05,3,0.05,14,0.6482145672848919,0.7411661339818929,0.019253052856760853,0.13217060824362892,0.21268107521883958
chestmnist,stanford_dinov2_xray_224,StanfordAIMI/dinov2-base-xray-224,224,1000-img,1,1000,50,0.05,3,0.05,13,0.6565826024898614,0.7236639374530451,0.01132008200374365,0.13965761199302498,0.20845111520434775
chestmnist,stanford_dinov2_xray_224,StanfordAIMI/dinov2-base-xray-224,224,1000-img,2,1000,50,0.05,3,0.05,14,0.6437005677832948,0.7260323685584404,0.010607005972011765,0.1262618640362584,0.20464669242001368
chestmnist,stanford_dinov2_xray_224,StanfordAIMI/dinov2-base-xray-224,224,1000-img,3,1000,50,0.05,3,0.05,14,0.647265300309617,0.7220467828810818,0.012300561547374989,0.13206021720635114,0.20728850798031703
chestmnist,stanford_dinov2_xray_224,StanfordAIMI/dinov2-base-xray-224,224,1000-img,4,1000,50,0.05,3,0.05,13,0.6562174689525452,0.6838462811811595,0.005615473749888582,0.1327923611960485,0.19559054607895546
chestmnist,stanford_dinov2_xray_224,StanfordAIMI/dinov2-base-xray-224,224,1000-img,5,1000,50,0.05,3,0.05,14,0.6466143826204113,0.7091159130556581,0.0024066316070951066,0.13442150710900447,0.20229074274539932
chestmnist,stanford_dinov2_xray_224,StanfordAIMI/dinov2-base-xray-224,224,1000-img,6,1000,50,0.05,3,0.05,14,0.6679605736627482,0.7030356665350872,0.008022105356983689,0.13334052952024053,0.2037590262722136
chestmnist,stanford_dinov2_xray_224,StanfordAIMI/dinov2-base-xray-224,224,1000-img,7,1000,50,0.05,3,0.05,14,0.6616060651285779,0.690015662205697,0.005348070237989126,0.13341864631559358,0.19707114350737162
chestmnist,stanford_dinov2_xray_224,StanfordAIMI/dinov2-base-xray-224,224,1000-img,8,1000,50,0.05,3,0.05,14,0.6411078611321349,0.727019214852355,0.02023353240039219,0.1289545806216287,0.20526413345690453
chestmnist,stanford_dinov2_xray_224,StanfordAIMI/dinov2-base-xray-224,224,1000-img,9,1000,50,0.05,3,0.05,14,0.6577117598511553,0.7185450702252556,0.007754701845084232,0.12810672799898606,0.20515310067065826
chestmnist,stanford_dinov2_xray_224,StanfordAIMI/dinov2-base-xray-224,224,5000-img,0,5000,100,0.05,5,0.02,14,0.698975897276795,0.753071957011702,0.025759871646314287,0.15685076045061308,0.23007900901258585
chestmnist,stanford_dinov2_xray_224,StanfordAIMI/dinov2-base-xray-224,224,5000-img,1,5000,100,0.05,5,0.02,14,0.6928200654554207,0.7664994333592248,0.025314199126481862,0.15474780636800325,0.23592158169961874
chestmnist,stanford_dinov2_xray_224,StanfordAIMI/dinov2-base-xray-224,224,5000-img,2,5000,100,0.05,5,0.02,14,0.7003355967725843,0.7637171634854136,0.02379891255905161,0.15765973451858797,0.23417251341312423
chestmnist,stanford_dinov2_xray_224,StanfordAIMI/dinov2-base-xray-224,224,5000-img,3,5000,100,0.05,5,0.02,14,0.6918070967877723,0.7541925050615665,0.02647294767804617,0.15042873767249315,0.23011884820930048
chestmnist,stanford_dinov2_xray_224,StanfordAIMI/dinov2-base-xray-224,224,5000-img,4,5000,100,0.05,5,0.02,14,0.7027832037618841,0.7550138158481147,0.02335324003921918,0.1564725232015576,0.2315112540192926
chestmnist,stanford_dinov2_xray_224,StanfordAIMI/dinov2-base-xray-224,224,5000-img,5,5000,100,0.05,5,0.02,14,0.6989934482882504,0.762787617944049,0.019698725376593278,0.15261062687601462,0.2337843951795336
chestmnist,stanford_dinov2_xray_224,StanfordAIMI/dinov2-base-xray-224,224,5000-img,6,5000,100,0.05,5,0.02,14,0.7057154015823431,0.7528809545032024,0.01952045636866031,0.15383381210059702,0.23082715706868534
chestmnist,stanford_dinov2_xray_224,StanfordAIMI/dinov2-base-xray-224,224,5000-img,7,5000,100,0.05,5,0.02,14,0.7073431194651519,0.7498822151197586,0.021035742936090562,0.15374854430679835,0.23005311330184428
chestmnist,stanford_dinov2_xray_224,StanfordAIMI/dinov2-base-xray-224,224,5000-img,8,5000,100,0.05,5,0.02,14,0.694652070038453,0.7630613882062318,0.02549246813441483,0.14880559848535838,0.23367584374935652
chestmnist,stanford_dinov2_xray_224,StanfordAIMI/dinov2-base-xray-224,224,5000-img,9,5000,100,0.05,5,0.02,14,0.7002213940906349,0.7591840372836897,0.023264105535252697,0.1489004349654285,0.23146944083224968
chestmnist,stanford_dinov2_xray_224,StanfordAIMI/dinov2-base-xray-224,224,full,full,78468,2000,0.05,100,0.0254880970586736,14,0.7625534422103197,0.7460430646989163,0.014885462162403067,0.1584825645813089,0.2348653418245991
