dataset_name,adaptation_method,run_name,model_name,image_size,setting,seed,n_train,k,threshold,positive_neighbors_needed,class_name,true_positive_rate,predicted_positive_rate,accuracy,f1,auc
chestmnist,frozen_feature_knn,rad_dino_518,microsoft/rad-dino,518,full,full,78468,100,0.1,10,atelectasis,0.09974151104688644,0.362331748008728,0.675728674569926,0.29822530864197533,0.749383024093294
chestmnist,frozen_feature_knn,rad_dino_518,microsoft/rad-dino,518,full,full,78468,100,0.1,10,cardiomegaly,0.021392280235886574,0.020322667434811592,0.9700508066672608,0.28205128205128205,0.8364694340711054
chestmnist,frozen_feature_knn,rad_dino_518,microsoft/rad-dino,518,full,full,78468,100,0.1,10,effusion,0.11516177654266357,0.3677689731121063,0.7026472947678046,0.3842746400885936,0.821200374186671
chestmnist,frozen_feature_knn,rad_dino_518,microsoft/rad-dino,518,full,full,78468,100,0.1,10,infiltration,0.17987342178821564,0.730189859867096,0.3958463321151618,0.33614103819784524,0.651449986745742
chestmnist,frozen_feature_knn,rad_dino_518,microsoft/rad-dino,518,full,full,78468,100,0.1,10,mass,0.05570906400680542,0.11658792942762375,0.8761921739905517,0.28142783238489394,0.7649242212573155
chestmnist,frozen_feature_knn,rad_dino_518,microsoft/rad-dino,518,full,full,78468,100,0.1,10,nodule,0.05463945120573044,0.06096800044178963,0.9006150280773687,0.14032382420971473,0.6135619469911303
chestmnist,frozen_feature_knn,rad_dino_518,microsoft/rad-dino,518,full,full,78468,100,0.1,10,pneumonia,0.011854888871312141,8.913450437830761e-05,0.988055976468491,0.0,0.6576770267722345
chestmnist,frozen_feature_knn,rad_dino_518,microsoft/rad-dino,518,full,full,78468,100,0.1,10,pneumothorax,0.04492378979921341,0.08610393106937408,0.9037347357161958,0.2653061224489796,0.7834052729818014
chestmnist,frozen_feature_knn,rad_dino_518,microsoft/rad-dino,518,full,full,78468,100,0.1,10,consolidation,0.0398431234061718,0.11783581227064133,0.8744094839112221,0.2035048049745619,0.7686399655748477
chestmnist,frozen_feature_knn,rad_dino_518,microsoft/rad-dino,518,full,full,78468,100,0.1,10,edema,0.017826899886131287,0.046349942684173584,0.9491933327391033,0.20833333333333334,0.8588258916417097
chestmnist,frozen_feature_knn,rad_dino_518,microsoft/rad-dino,518,full,full,78468,100,0.1,10,emphysema,0.018539976328611374,0.009804795496165752,0.9736161868259203,0.06918238993710692,0.7414940828402368
chestmnist,frozen_feature_knn,rad_dino_518,microsoft/rad-dino,518,full,full,78468,100,0.1,10,fibrosis,0.01479632779955864,0.00044567251461558044,0.984936268829664,0.011695906432748537,0.6715158834923517
chestmnist,frozen_feature_knn,rad_dino_518,microsoft/rad-dino,518,full,full,78468,100,0.1,10,pleural,0.03315803408622742,0.022016221657395363,0.9515999643461984,0.12277867528271405,0.719053804084376
chestmnist,frozen_feature_knn,rad_dino_518,microsoft/rad-dino,518,full,full,78468,100,0.1,10,hernia,0.0036545146722346544,0.0,0.9963454853373741,0.0,0.6961278469467465
chestmnist,frozen_feature_knn,rad_dino_518,microsoft/rad-dino,518,full,full,78468,100,0.15,15,atelectasis,0.09974151104688644,0.20010696351528168,0.8010517871468045,0.33650416171224734,0.749383024093294
chestmnist,frozen_feature_knn,rad_dino_518,microsoft/rad-dino,518,full,full,78468,100,0.15,15,cardiomegaly,0.021392280235886574,0.005793742835521698,0.978518584544077,0.2098360655737705,0.8364694340711054
chestmnist,frozen_feature_knn,rad_dino_518,microsoft/rad-dino,518,full,full,78468,100,0.15,15,effusion,0.11516177654266357,0.28130850195884705,0.7678937516712719,0.414568345323741,0.821200374186671
