dataset_name,adaptation_method,run_name,model_name,image_size,setting,n_train,k,threshold,positive_neighbors_needed,runs,classes_with_positive_train_examples_mean,mean_auc_mean,mean_auc_std,f1_macro_mean,f1_macro_std,f1_micro_mean,f1_micro_std,mean_accuracy_mean,exact_match_accuracy_mean
chestmnist,frozen_feature_knn,rad_dino_518,microsoft/rad-dino,518,5-img,5,3,0.3,1,10,3.1,0.505504972254642,0.00496865170407152,0.03591034754308254,0.020210955849766277,0.13552876999838628,0.0724368103974006,0.8421708071766011,0.11615117211872714
chestmnist,frozen_feature_knn,rad_dino_518,microsoft/rad-dino,518,5-img,5,3,0.5,2,10,3.1,0.505504972254642,0.00496865170407152,0.01014932806145655,0.013308272208874244,0.052806654243327,0.07834301226415732,0.9376300408745368,0.4668597914252607
chestmnist,frozen_feature_knn,rad_dino_518,microsoft/rad-dino,518,5-img,5,5,0.01,1,10,3.1,0.5,0.0,0.035618958612809976,0.019860516540893346,0.1382002783033453,0.067892852730952,0.7678396342938638,0.06642303235582495
chestmnist,frozen_feature_knn,rad_dino_518,microsoft/rad-dino,518,5-img,5,5,0.03,1,10,3.1,0.5,0.0,0.035618958612809976,0.019860516540893346,0.1382002783033453,0.067892852730952,0.7678396342938638,0.06642303235582495
chestmnist,frozen_feature_knn,rad_dino_518,microsoft/rad-dino,518,5-img,5,5,0.05,1,10,3.1,0.5,0.0,0.035618958612809976,0.019860516540893346,0.1382002783033453,0.067892852730952,0.7678396342938638,0.06642303235582495
chestmnist,frozen_feature_knn,rad_dino_518,microsoft/rad-dino,518,5-img,5,5,0.1,1,10,3.1,0.5,0.0,0.035618958612809976,0.019860516540893346,0.1382002783033453,0.067892852730952,0.7678396342938638,0.06642303235582495
chestmnist,frozen_feature_knn,rad_dino_518,microsoft/rad-dino,518,5-img,5,5,0.15,1,10,3.1,0.5,0.0,0.035618958612809976,0.019860516540893346,0.1382002783033453,0.067892852730952,0.7678396342938638,0.06642303235582495
chestmnist,frozen_feature_knn,rad_dino_518,microsoft/rad-dino,518,5-img,5,5,0.2,1,10,3.1,0.5,0.0,0.035618958612809976,0.019860516540893346,0.1382002783033453,0.067892852730952,0.7678396342938638,0.06642303235582495
chestmnist,frozen_feature_knn,rad_dino_518,microsoft/rad-dino,518,5-img,5,5,0.3,2,10,3.1,0.5,0.0,0.012075477955302744,0.014692203009909546,0.08853478847203929,0.09857097728161121,0.9130550214559484,0.28980301274623405
chestmnist,frozen_feature_knn,rad_dino_518,microsoft/rad-dino,518,5-img,5,5,0.5,3,10,3.1,0.5,0.0,0.002177878025879839,0.006887055027811426,0.021024118351825806,0.06648409978871479,0.9446328295111609,0.49653266779570365
chestmnist,frozen_feature_knn,rad_dino_518,microsoft/rad-dino,518,10-img,10,1,0.01,1,10,4.9,0.5084918570254733,0.0069029952693712045,0.03664966681952261,0.018099571317538837,0.0976234069160967,0.0540683084750555,0.9214349381788548,0.40037436491665923
chestmnist,frozen_feature_knn,rad_dino_518,microsoft/rad-dino,518,10-img,10,1,0.03,1,10,4.9,0.5084918570254733,0.0069029952693712045,0.03664966681952261,0.018099571317538837,0.0976234069160967,0.0540683084750555,0.9214349381788548,0.40037436491665923
chestmnist,frozen_feature_knn,rad_dino_518,microsoft/rad-dino,518,10-img,10,1,0.05,1,10,4.9,0.5084918570254733,0.0069029952693712045,0.03664966681952261,0.018099571317538837,0.0976234069160967,0.0540683084750555,0.9214349381788548,0.40037436491665923
chestmnist,frozen_feature_knn,rad_dino_518,microsoft/rad-dino,518,10-img,10,1,0.1,1,10,4.9,0.5084918570254733,0.0069029952693712045,0.03664966681952261,0.018099571317538837,0.0976234069160967,0.0540683084750555,0.9214349381788548,0.40037436491665923
chestmnist,frozen_feature_knn,rad_dino_518,microsoft/rad-dino,518,10-img,10,1,0.15,1,10,4.9,0.5084918570254733,0.0069029952693712045,0.03664966681952261,0.018099571317538837,0.0976234069160967,0.0540683084750555,0.9214349381788548,0.40037436491665923
chestmnist,frozen_feature_knn,rad_dino_518,microsoft/rad-dino,518,10-img,10,1,0.2,1,10,4.9,0.5084918570254733,0.0069029952693712045,0.03664966681952261,0.018099571317538837,0.0976234069160967,0.0540683084750555,0.9214349381788548,0.40037436491665923
chestmnist,frozen_feature_knn,rad_dino_518,microsoft/rad-dino,518,10-img,10,1,0.3,1,10,4.9,0.5084918570254733,0.0069029952693712045,0.03664966681952261,0.018099571317538837,0.0976234069160967,0.0540683084750555,0.9214349381788548,0.40037436491665923
chestmnist,frozen_feature_knn,rad_dino_518,microsoft/rad-dino,518,10-img,10,1,0.5,1,10,4.9,0.5084918570254733,0.0069029952693712045,0.03664966681952261,0.018099571317538837,0.0976234069160967,0.0540683084750555,0.9214349381788548,0.40037436491665923
chestmnist,frozen_feature_knn,rad_dino_518,microsoft/rad-dino,518,10-img,10,3,0.01,1,10,4.9,0.5155496177677157,0.009380749008332571,0.04995578768350179,0.02039067188713256,0.1371806285431172,0.05594111382353076,0.8571046566411573,0.17575541492111596
